rank,personName,age,finalWorth,category,countryOfCitizenship,selfMade,gender,continent,Age Classification
1341,Houshan Bai,58,2300,Energy,China,TRUE,M,Asia,middle age
1341,Alex Beard,54,2300,Metals & Mining,United Kingdom,TRUE,M,Europe,middle age
1341,Koos Bekker,69,2300,Media & Entertainment,South Africa,TRUE,M,,old age
1341,William Boyd & family,90,2300,Gambling & Casinos,United States,TRUE,M,North America,old age
1341,Timothy Boyle,72,2300,Fashion & Retail,United States,TRUE,M,North America,old age
1341,Anand Burman,69,2300,Food & Beverage,India,FALSE,M,Asia,old age
1341,Richard Chandler,63,2300,Finance & Investments,New Zealand,FALSE,M,Australia,old age
1341,R.G. Chandramogan,73,2300,Food & Beverage,India,TRUE,M,Asia,old age
1341,Cho Young-sik,60,2300,Healthcare,South Korea,TRUE,M,Asia,middle age
1341,Chu Lam Yiu,52,2300,Manufacturing,Hong Kong,TRUE,F,,middle age
1341,Kommer Damen,78,2300,Manufacturing,Netherlands,FALSE,M,Europe,old age
1341,Henry Davis,71,2300,Food & Beverage,United States,FALSE,M,North America,old age
1341,Ray Davis,80,2300,Energy,United States,TRUE,M,North America,old age
1341,Stephen Feinberg,62,2300,Finance & Investments,United States,TRUE,M,North America,old age
1341,Kenneth Feld & family,73,2300,Media & Entertainment,United States,FALSE,M,North America,old age
1341,Alexander Frolov,57,2300,Metals & Mining,Russia,TRUE,M,Europe,middle age
1341,Mario Germano Giuliani,50,2300,Healthcare,Switzerland,FALSE,M,Europe,middle age
1341,Serge Godin,72,2300,Technology,Canada,TRUE,M,North America,old age
1341,Noam Gottesman,60,2300,Finance & Investments,United States,TRUE,M,North America,middle age
1341,Philip & Cristina Green,70,2300,Fashion & Retail,United Kingdom,TRUE,,Europe,old age
1341,Yusuf Hamied,85,2300,Healthcare,India,FALSE,M,Asia,old age
1341,Bill Haslam,63,2300,Fashion & Retail,United States,FALSE,M,North America,old age
1341,Hans-Werner Hector,82,2300,Technology,Germany,TRUE,M,Europe,old age
1341,Ho Hung Anh,51,2300,Finance & Investments,Vietnam,TRUE,M,Asia,middle age
1341,Douglas Hsu,79,2300,Diversified,Taiwan,FALSE,M,Asia,old age
1341,Erman Ilicak,54,2300,Construction & Engineering,Turkey,TRUE,M,Europe,middle age
1341,Zhaobai Jiang,58,2300,Real Estate,China,TRUE,M,Asia,middle age
1341,Osman Kibar,51,2300,Healthcare,United States,TRUE,M,North America,middle age
1341,Adam Kwok,39,2300,Real Estate,Hong Kong,FALSE,M,,youth
1341,Frank Laukien,62,2300,Manufacturing,United States,FALSE,M,North America,old age
1341,Louis Le Duff,75,2300,Food & Beverage,France,TRUE,M,Europe,old age
1341,Solomon Lew,77,2300,Fashion & Retail,Australia,TRUE,M,Australia,old age
1341,Liang Rubo,39,2300,Technology,China,TRUE,M,Asia,youth
1341,Liang Zhaoxian,57,2300,Manufacturing,China,FALSE,M,Asia,middle age
1341,Prayudh Mahagitsiri,76,2300,Food & Beverage,Thailand,FALSE,M,Asia,old age
1341,Clayton Mathile,81,2300,Food & Beverage,United States,TRUE,M,North America,old age
1341,Erwin Franz Mueller,89,2300,Fashion & Retail,Germany,TRUE,M,Europe,old age
1341,David Murdock,98,2300,Food & Beverage,United States,TRUE,M,North America,old age
1341,Rubens Ometto Silveira Mello,72,2300,Energy,Brazil,FALSE,M,South America,old age
1341,Erik Paulsson & family,80,2300,Real Estate,Sweden,TRUE,M,Europe,old age
1341,Heloise Pratt,59,2300,Manufacturing,Australia,FALSE,F,Australia,middle age
1341,Qiu Jianping & family,60,2300,Manufacturing,China,TRUE,M,Asia,middle age
1341,Dirk Rossmann & family,75,2300,Fashion & Retail,Germany,TRUE,M,Europe,old age
1341,Karin Schick,,2300,Technology,Germany,FALSE,F,Europe,NA
1341,Stephan Schmidheiny,74,2300,Finance & Investments,Switzerland,FALSE,M,Europe,old age
1341,Wenrong Shen,76,2300,Metals & Mining,China,TRUE,M,Asia,old age
1341,Guangxin Sun,59,2300,Diversified,China,TRUE,M,Asia,middle age
1341,Mengquan Sun & family,72,2300,Food & Beverage,China,TRUE,M,Asia,old age
1341,Thomas Tull,51,2300,Media & Entertainment,United States,TRUE,M,North America,middle age
1341,Ted Turner,83,2300,Media & Entertainment,United States,FALSE,M,North America,old age
1341,David Walentas,83,2300,Real Estate,United States,TRUE,M,North America,old age
1341,Yingming Wu,55,2300,Energy,China,TRUE,M,Asia,middle age
1341,Yingzhuo Xu,54,2300,Food & Beverage,China,TRUE,M,Asia,middle age
1341,Christoph Zeller,64,2300,Healthcare,Liechtenstein,FALSE,M,Europe,old age
1341,Zhang Wanzhen,72,2300,Manufacturing,China,TRUE,M,Asia,old age
1341,Xiaojuan Zhang,52,2300,Logistics,China,TRUE,F,Asia,middle age
1397,Michael Ashcroft,76,2200,Finance & Investments,United Kingdom,TRUE,M,Europe,old age
1397,Alex Atallah,30,2200,Technology,United States,TRUE,M,North America,youth
1397,Brett Blundy,62,2200,Fashion & Retail,Australia,TRUE,M,Australia,old age
1397,Chris Britt,49,2200,Finance & Investments,United States,TRUE,M,North America,middle age
1397,Cen Junda,57,2200,Healthcare,China,TRUE,M,Asia,middle age
1397,Yadu Hari Dalmia & family,74,2200,Manufacturing,India,FALSE,M,Asia,old age
1397,Zhenggang Dou,68,2200,Diversified,China,TRUE,M,Asia,old age
1397,Weimin Du,58,2200,Healthcare,China,TRUE,M,Asia,middle age
1397,Devin Finzer,31,2200,Technology,United States,TRUE,M,North America,youth
1397,Robert Friedland,71,2200,Metals & Mining,United States,TRUE,M,North America,old age
1397,Phillip Frost,85,2200,Healthcare,United States,TRUE,M,North America,old age
1397,Jeffrey Gundlach,63,2200,Finance & Investments,United States,TRUE,M,North America,old age
1397,John Hancock,46,2200,Metals & Mining,Australia,FALSE,M,Australia,middle age
1397,Georg Haub,60,2200,Fashion & Retail,Germany,FALSE,M,Europe,middle age
1397,Hortensia Herrero,71,2200,Fashion & Retail,Spain,FALSE,F,Europe,old age
1397,"B. Wayne Hughes, Jr.",61,2200,Real Estate,United States,FALSE,M,North America,old age
1397,Bruce Karsh,66,2200,Finance & Investments,United States,TRUE,M,North America,old age
1397,Shlomo Kramer,56,2200,Technology,Israel,TRUE,M,Asia,middle age
1397,Jonathan Kwok,30,2200,Real Estate,Hong Kong,FALSE,M,,youth
1397,Christian Latouche,81,2200,Finance & Investments,France,TRUE,M,Europe,old age
1397,Martin Lau,49,2200,Technology,Hong Kong,TRUE,M,,middle age
1397,Li Wa,56,2200,Real Estate,Hong Kong,TRUE,M,,middle age
1397,Liang Xinjun,54,2200,Diversified,China,TRUE,M,Asia,middle age
1397,Lin Chang Su-O,81,2200,Real Estate,Taiwan,FALSE,F,Asia,old age
1397,Lin Fanlian,60,2200,Energy,China,TRUE,M,Asia,middle age
1397,Lin Lairong & family,53,2200,Metals & Mining,China,TRUE,M,Asia,middle age
1397,Daniel Lubetzky,53,2200,Food & Beverage,United States,TRUE,M,North America,middle age
1397,Howard Marks,75,2200,Finance & Investments,United States,TRUE,M,North America,old age
1397,Craig McCaw,72,2200,Telecom,United States,FALSE,M,North America,old age
1397,Vincent McMahon,76,2200,Sports,United States,TRUE,M,North America,old age
1397,Mu Rongjun,42,2200,Technology,China,TRUE,M,Asia,youth
1397,Jonathan Nelson,65,2200,Finance & Investments,United States,TRUE,M,North America,old age
1397,Bianca Rinehart,45,2200,Metals & Mining,Australia,FALSE,F,Australia,middle age
1397,Ginia Rinehart,35,2200,Metals & Mining,Australia,FALSE,F,Australia,youth
1397,Filiz Sahenk,55,2200,Diversified,Turkey,FALSE,F,Europe,middle age
1397,S.D. Shibulal,67,2200,Technology,India,TRUE,M,Asia,old age
1397,Alexander Svetakov,54,2200,Finance & Investments,Russia,TRUE,M,Europe,middle age
1397,Jeffrey Talpins,47,2200,Finance & Investments,United States,TRUE,M,North America,middle age
1397,Ming Tian,68,2200,Technology,China,TRUE,M,Asia,old age
1397,Arvind Tiku,52,2200,Energy,India,TRUE,M,Asia,middle age
1397,Torsten Toeller,55,2200,Fashion & Retail,Germany,TRUE,M,Europe,middle age
1397,Riaz Valani,45,2200,Finance & Investments,United States,TRUE,M,North America,middle age
1397,Pieter van der Does,52,2200,Technology,Netherlands,TRUE,M,Europe,middle age
1397,Lang Walker,76,2200,Real Estate,Australia,TRUE,M,Australia,old age
1397,Hope Welker,36,2200,Metals & Mining,Australia,FALSE,F,Australia,youth
1397,Xie Bingkun & family,55,2200,Fashion & Retail,China,TRUE,M,Asia,middle age
1397,William Young,81,2200,Manufacturing,United States,TRUE,M,North America,old age
1397,Zhou Jian,45,2200,Energy,China,TRUE,M,Asia,middle age
1445,Bill and Jean Adderley & family,,2100,Fashion & Retail,United Kingdom,TRUE,,Europe,NA
1445,Mohamed Al Fayed,93,2100,Fashion & Retail,Egypt,TRUE,M,Africa,old age
1445,Faisal Bin Qassim Al Thani,74,2100,Diversified,Qatar,TRUE,M,Asia,old age
1445,Masaaki Arai,56,2100,Real Estate,Japan,TRUE,M,Asia,middle age
1445,Tatyana Bakalchuk,46,2100,Fashion & Retail,Russia,TRUE,F,Europe,middle age
1445,Lee Bass,65,2100,Energy,United States,FALSE,M,North America,old age
1445,Alberto Bombassei,81,2100,Automotive,Italy,FALSE,M,Europe,old age
1445,Jim Breyer,60,2100,Technology,United States,TRUE,M,North America,middle age
1445,Ron Burkle,69,2100,Finance & Investments,United States,TRUE,M,North America,old age
1445,Chen Huwen,51,2100,Manufacturing,China,TRUE,M,Asia,middle age
1445,Chen Huxiong,51,2100,Manufacturing,China,TRUE,M,Asia,middle age
1445,Chen Xuehua,61,2100,Metals & Mining,China,TRUE,M,Asia,old age
1445,Bruce Cheng,86,2100,Technology,Taiwan,TRUE,M,Asia,old age
1445,Ryan Cohen,36,2100,Finance & Investments,Canada,TRUE,M,North America,youth
1445,Dermot Desmond,71,2100,Finance & Investments,Ireland,TRUE,M,Europe,old age
1445,Fred Ehrsam,33,2100,Finance & Investments,United States,TRUE,M,North America,youth
1445,John Elkann,46,2100,Finance & Investments,Italy,FALSE,M,Europe,middle age
1445,Bob Ell,77,2100,Real Estate,Australia,TRUE,M,Australia,old age
1445,Fang Xiaoliang & family,63,2100,Healthcare,China,TRUE,M,Asia,old age
1445,Lindsay Fox,84,2100,Logistics,Australia,TRUE,M,Australia,old age
1445,Gary Friedman,64,2100,Fashion & Retail,United States,TRUE,M,North America,old age
1445,Gordon Getty,88,2100,Energy,United States,FALSE,M,North America,old age
1445,Dennis Gillings,77,2100,Healthcare,United Kingdom,TRUE,M,Europe,old age
1445,Harsh Goenka,64,2100,Diversified,India,FALSE,M,Asia,old age
1445,David Hains,91,2100,Finance & Investments,Australia,TRUE,M,Australia,old age
1445,Bahaa Hariri,55,2100,Real Estate,Lebanon,FALSE,M,Asia,middle age
1445,Shmuel Harlap,77,2100,Automotive,Israel,FALSE,M,Asia,old age
1445,Gerry Harvey,82,2100,Fashion & Retail,Australia,TRUE,M,Australia,old age
1445,Reid Hoffman,54,2100,Technology,United States,TRUE,M,North America,middle age
1445,Hou Juncheng,57,2100,Healthcare,China,TRUE,M,Asia,middle age
1445,Thomas James,79,2100,Finance & Investments,United States,FALSE,M,North America,old age
1445,Eiichi Kuriwada,75,2100,Logistics,Japan,TRUE,M,Asia,old age
1445,Kwek Leng Kee,67,2100,Diversified,Singapore,FALSE,M,Asia,old age
1445,Lai Shixian,47,2100,Fashion & Retail,China,TRUE,M,Asia,middle age
1445,Lau Cho Kun,86,2100,Diversified,Malaysia,FALSE,M,Asia,old age
1445,Lee Hae-jin,54,2100,Technology,South Korea,TRUE,M,Asia,middle age
1445,Harald Link,67,2100,Diversified,Thailand,FALSE,M,Asia,old age
1445,Liu Xiucai & family,65,2100,Manufacturing,United States,TRUE,M,North America,old age
1445,Yangyong Luo & family,46,2100,Metals & Mining,China,TRUE,M,Asia,middle age
1445,Igor Makarov,60,2100,Energy,Russia,TRUE,M,Europe,middle age
1445,Alexander Mamut,62,2100,Finance & Investments,Russia,TRUE,M,Europe,old age
1445,David Mindus,50,2100,Real Estate,Sweden,TRUE,M,Europe,middle age
1445,Yuji Otsuka,68,2100,Technology,Japan,FALSE,M,Asia,old age
1445,Clive Palmer,68,2100,Metals & Mining,Australia,TRUE,M,Australia,old age
1445,Ajay Parekh,64,2100,Manufacturing,India,FALSE,M,Asia,old age
1445,Narendrakumar Parekh,83,2100,Manufacturing,India,FALSE,M,Asia,old age
1445,Xiangdong Qi,51,2100,Technology,China,TRUE,M,Asia,middle age
1445,Jianhua Ren,65,2100,Manufacturing,China,TRUE,M,Asia,old age
1445,Alice Schwartz,95,2100,Healthcare,United States,TRUE,F,North America,old age
1445,Peter Sondakh,72,2100,Finance & Investments,Indonesia,TRUE,M,Asia,old age
1445,Song Fei,55,2100,Manufacturing,China,TRUE,M,Asia,middle age
1445,Timothy Springer,74,2100,Healthcare,United States,TRUE,M,North America,old age
1445,Suyu Su & family,73,2100,Real Estate,China,TRUE,F,Asia,old age
1445,Elizabeth Sy,69,2100,Diversified,Philippines,FALSE,F,Asia,old age
1445,Sukanto Tanoto,72,2100,Diversified,Indonesia,TRUE,M,Asia,old age
1445,Jayshree Ullal,61,2100,Technology,United States,TRUE,F,North America,old age
1445,Sunny Varkey,64,2100,Service,India,FALSE,M,Asia,old age
1445,Jitendra Virwani,56,2100,Real Estate,India,FALSE,M,Asia,middle age
1445,Wang Ren-sheng,90,2100,Fashion & Retail,Taiwan,TRUE,M,Asia,old age
1445,Wang Wenmo,65,2100,Fashion & Retail,China,TRUE,M,Asia,old age
1445,Thomas Wu,72,2100,Finance & Investments,Taiwan,FALSE,M,Asia,old age
1445,Wu Ying,57,2100,Manufacturing,China,TRUE,M,Asia,middle age
1445,Amy Wyss,51,2100,Healthcare,United States,FALSE,F,North America,middle age
1445,Xiang Guangming & family,58,2100,Manufacturing,China,TRUE,M,Asia,middle age
1445,Xu Shugen,56,2100,Manufacturing,China,TRUE,M,Asia,middle age
1445,Steven Meng Yang & family,39,2100,Technology,China,TRUE,M,Asia,youth
1445,Clayton Zekelman,53,2100,Manufacturing,Canada,FALSE,M,North America,middle age
1445,Hongfei Zhao,47,2100,Technology,China,TRUE,M,Asia,middle age
1513,S. Daniel Abraham,97,2000,Food & Beverage,United States,TRUE,M,North America,old age
1513,Aziz Akhannouch & family,61,2000,Diversified,Morocco,FALSE,M,Africa,old age
1513,Andrey Andreev,48,2000,Technology,United Kingdom,TRUE,M,Europe,middle age
1513,Ramon Ang,68,2000,Food & Beverage,Philippines,TRUE,M,Asia,old age
1513,Guilherme Benchimol,45,2000,Finance & Investments,Brazil,TRUE,M,South America,middle age
1513,Julio Bozano,86,2000,Finance & Investments,Brazil,TRUE,M,South America,old age
1513,Ryan Breslow,27,2000,Technology,United States,TRUE,M,North America,youth
1513,Cao Jianwei,43,2000,Manufacturing,China,TRUE,M,Asia,youth
1513,Herb Chambers,80,2000,Automotive,United States,TRUE,M,North America,old age
1513,Daniel Chiu,61,2000,Energy,Hong Kong,TRUE,M,,old age
1513,Tim Cook,61,2000,Technology,United States,TRUE,M,North America,old age
1513,Brunello Cucinelli & family,68,2000,Fashion & Retail,Italy,TRUE,M,Europe,old age
1513,Georgi Domuschiev,49,2000,Diversified,Bulgaria,TRUE,M,Europe,middle age
1513,Kiril Domuschiev,52,2000,Diversified,Bulgaria,TRUE,M,Europe,middle age
1513,Glenn Dubin,64,2000,Finance & Investments,United States,TRUE,M,North America,old age
1513,James Duff,61,2000,Diversified,United States,TRUE,M,North America,old age
1513,Thomas Duff,65,2000,Diversified,United States,TRUE,M,North America,old age
1513,Robert Duggan,77,2000,Healthcare,United States,TRUE,M,North America,old age
1513,Maria Franca Fissolo,87,2000,Food & Beverage,Italy,FALSE,F,Europe,old age
1513,Fu Mingkang & family,59,2000,Manufacturing,China,TRUE,M,Asia,middle age
1513,Jay Hennick,65,2000,Finance & Investments,Canada,TRUE,M,North America,old age
1513,Orion Hindawi,42,2000,Technology,United States,TRUE,M,North America,youth
1513,Ji Qi,55,2000,Real Estate,China,TRUE,M,Asia,middle age
1513,Kim Chang-soo,61,2000,Fashion & Retail,South Korea,TRUE,M,Asia,old age
1513,Vyacheslav Kim,52,2000,Finance & Investments,Kazakhstan,TRUE,M,Europe,middle age
1513,Kuan Kam Hon & family,74,2000,Manufacturing,Malaysia,TRUE,M,Asia,old age
1513,Egor Kulkov,50,2000,Healthcare,Russia,TRUE,M,Europe,middle age
1513,Josh Kushner,36,2000,Finance & Investments,United States,TRUE,M,North America,youth
1513,Henry Laufer,76,2000,Finance & Investments,United States,TRUE,M,North America,old age
1513,Thomas Lee,78,2000,Finance & Investments,United States,TRUE,M,North America,old age
1513,Michael Lee-Chin,71,2000,Finance & Investments,Canada,TRUE,M,North America,old age
1513,Li Xuhui,53,2000,Food & Beverage,China,TRUE,F,Asia,middle age
1513,Lim Kok Thay,70,2000,Gambling & Casinos,Malaysia,FALSE,M,Asia,old age
1513,Joao Roberto Marinho,68,2000,Media & Entertainment,Brazil,FALSE,M,South America,old age
1513,Jose Roberto Marinho,66,2000,Media & Entertainment,Brazil,FALSE,M,South America,old age
1513,Roberto Irineu Marinho,74,2000,Media & Entertainment,Brazil,FALSE,M,South America,old age
1513,Jim McKelvey,56,2000,Technology,United States,TRUE,M,North America,middle age
1513,Robert Miller,88,2000,Fashion & Retail,United Kingdom,TRUE,M,Europe,old age
1513,David Nahmad,74,2000,Fashion & Retail,Monaco,TRUE,M,Europe,old age
1513,Florentino Perez,75,2000,Construction & Engineering,Spain,TRUE,M,Europe,old age
1513,Jennifer Pritzker,71,2000,Finance & Investments,United States,FALSE,F,North America,old age
1513,Linda Pritzker,68,2000,Service,United States,FALSE,F,North America,old age
1513,P.V. Ramprasad Reddy,64,2000,Healthcare,India,TRUE,M,Asia,old age
1513,"Joe Rogers, Jr.",75,2000,Food & Beverage,United States,FALSE,M,North America,old age
1513,Ruan Shuilong & family,86,2000,Manufacturing,China,TRUE,M,Asia,old age
1513,Phil Ruffin,87,2000,Diversified,United States,TRUE,M,North America,old age
1513,Vinod Saraf,69,2000,Manufacturing,India,TRUE,M,Asia,old age
1513,Maria-Elisabeth Schaeffler-Thumann,80,2000,Automotive,Germany,FALSE,F,Europe,old age
1513,Genhuo Shao,56,2000,Food & Beverage,China,TRUE,M,Asia,middle age
1513,Shen Xiqiang & family,74,2000,Energy,China,TRUE,M,Asia,old age
1513,Shi Wen-long,94,2000,Manufacturing,Taiwan,TRUE,M,Asia,old age
1513,Thaksin Shinawatra,72,2000,Finance & Investments,Thailand,TRUE,M,Asia,old age
1513,Alexander Skorobogatko,54,2000,Logistics,Russia,TRUE,M,Europe,middle age
1513,Sylvia Stroeher,66,2000,Fashion & Retail,Germany,FALSE,F,Europe,old age
1513,Wichai Thongtang,75,2000,Finance & Investments,Thailand,TRUE,M,Asia,old age
1513,Todd Wagner,61,2000,Media & Entertainment,United States,TRUE,M,North America,old age
1513,Wang Jianguo,62,2000,Fashion & Retail,China,TRUE,M,Asia,old age
1513,Shuifu Wang,67,2000,Manufacturing,China,TRUE,M,Asia,old age
1513,Wenbiao Wang,65,2000,Manufacturing,China,TRUE,M,Asia,old age
1513,Kanye West,44,2000,Fashion & Retail,United States,TRUE,M,North America,youth
1513,Evan Williams,50,2000,Technology,United States,TRUE,M,North America,middle age
1513,Zhongyi Wu,48,2000,Technology,China,TRUE,M,Asia,middle age
1513,Zhihan Xu,49,2000,Technology,China,TRUE,M,Asia,middle age
1513,Yan Zhi,49,2000,Real Estate,China,TRUE,M,Asia,middle age
1513,Michael Ying,72,2000,Fashion & Retail,Hong Kong,TRUE,M,,old age
1513,Yuan Liping,51,2000,Healthcare,Canada,FALSE,F,North America,middle age
1579,Anu Aga,79,1900,Construction & Engineering,India,FALSE,F,Asia,old age
1579,Joy Alukkas,65,1900,Fashion & Retail,India,FALSE,M,Asia,old age
1579,Sezai Bacaksiz,72,1900,Diversified,Turkey,TRUE,M,Europe,old age
1579,Baokun Bai,52,1900,Manufacturing,China,TRUE,M,Asia,middle age
1579,Acharya Balkrishna,49,1900,Food & Beverage,India,TRUE,M,Asia,middle age
1579,Kiki Barki,82,1900,Energy,Indonesia,TRUE,M,Asia,old age
1579,John Bloor,78,1900,Diversified,United Kingdom,TRUE,M,Europe,old age
1579,Nicola Bulgari,81,1900,Fashion & Retail,Italy,FALSE,M,Europe,old age
1579,Alejandro Bulgheroni,77,1900,Energy,Argentina,FALSE,M,South America,old age
1579,Chen Kaichen,,1900,Manufacturing,China,TRUE,M,Asia,NA
1579,Fernando Chico Pardo,70,1900,Service,Mexico,TRUE,M,North America,old age
1579,Jose Luis Cutrale,75,1900,Food & Beverage,Brazil,FALSE,M,South America,old age
1579,D. Leopoldo Del Pino,59,1900,Construction & Engineering,Spain,FALSE,M,Europe,middle age
1579,James Dinan,62,1900,Finance & Investments,United States,TRUE,M,North America,old age
1579,Francois Feuillet & family,73,1900,Automotive,France,FALSE,M,Europe,old age
1579,Guangming Fu & family,68,1900,Food & Beverage,China,TRUE,M,Asia,old age
1579,Mario Gabelli,80,1900,Finance & Investments,United States,TRUE,M,North America,old age
1579,Reinold Geiger,74,1900,Fashion & Retail,Austria,TRUE,M,Europe,old age
1579,He Zhenggang,68,1900,Manufacturing,China,TRUE,M,Asia,old age
1579,Roberto Hernandez Ramirez,80,1900,Finance & Investments,Mexico,TRUE,M,North America,old age
1579,Hoi Kin Hong,69,1900,Real Estate,Macau,TRUE,M,,old age
1579,Huang Qiaoling,63,1900,Media & Entertainment,China,TRUE,M,Asia,old age
1579,Willis Johnson,74,1900,Automotive,United States,TRUE,M,North America,old age
1579,Keeree Kanjanapas,71,1900,Real Estate,Thailand,TRUE,M,Asia,old age
1579,Kim Dae-il,42,1900,Technology,South Korea,TRUE,M,Asia,youth
1579,Kim Hyoung-nyon,46,1900,Finance & Investments,South Korea,TRUE,M,Asia,middle age
1579,Andrei Kozitsyn,61,1900,Metals & Mining,Russia,TRUE,M,Europe,old age
1579,Thomas Kwok,70,1900,Real Estate,Hong Kong,FALSE,M,,old age
1579,Lei Jufang,69,1900,Healthcare,China,TRUE,F,Asia,old age
1579,David Lichtenstein,60,1900,Real Estate,United States,TRUE,M,North America,middle age
1579,Lin Dingqiang & family,55,1900,Real Estate,Hong Kong,TRUE,M,,middle age
1579,Mikhail Lomtadze,46,1900,Finance & Investments,Georgia,TRUE,M,Europe,middle age
1579,Melissa Ma,,1900,Technology,China,TRUE,F,Asia,NA
1579,Yusaku Maezawa,46,1900,Technology,Japan,TRUE,M,Asia,middle age
1579,Katarina Martinson,40,1900,Diversified,Sweden,FALSE,F,Europe,youth
1579,Shouliang Miao,67,1900,Real Estate,China,TRUE,M,Asia,old age
1579,Romano Minozzi,87,1900,Diversified,Italy,TRUE,M,Europe,old age
1579,Pedro Moreira Salles,62,1900,Diversified,Brazil,FALSE,M,South America,old age
1579,Alexander Nesis,59,1900,Finance & Investments,Russia,TRUE,M,Europe,middle age
1579,Nguyen Dang Quang,58,1900,Food & Beverage,Vietnam,TRUE,M,Asia,middle age
1579,Oei Hong Leong,74,1900,Finance & Investments,Singapore,FALSE,M,Asia,old age
1579,Nihat Ozdemir,72,1900,Diversified,Turkey,TRUE,M,Europe,old age
1579,Gretel Packer,56,1900,Media & Entertainment,Australia,FALSE,F,Australia,middle age
1579,Benjamin Zhengmin Pan & family,52,1900,Technology,China,TRUE,M,Asia,middle age
1579,Victor Pinchuk,61,1900,Metals & Mining,Ukraine,TRUE,M,Europe,old age
1579,Alexander Ponomarenko,57,1900,Logistics,Russia,TRUE,M,Europe,middle age
1579,Qi Jinxing,60,1900,Real Estate,China,TRUE,M,Asia,middle age
1579,Larry Robbins,52,1900,Finance & Investments,United States,TRUE,M,North America,middle age
1579,Dwight Schar,80,1900,Construction & Engineering,United States,TRUE,M,North America,old age
1579,Shi Yifeng,48,1900,Healthcare,China,TRUE,M,Asia,middle age
1579,Sun Hongjun,48,1900,Technology,China,TRUE,M,Asia,middle age
1579,Anand Surana,51,1900,Healthcare,India,FALSE,M,Asia,middle age
1579,Dilip Surana,56,1900,Healthcare,India,FALSE,M,Asia,middle age
1579,Djoko Susanto,72,1900,Fashion & Retail,Indonesia,TRUE,M,Asia,old age
1579,Sze Man Bok,72,1900,Manufacturing,China,TRUE,M,Asia,old age
1579,Alain Taravella,74,1900,Real Estate,France,TRUE,M,Europe,old age
1579,Martin Viessmann,68,1900,Manufacturing,Germany,FALSE,M,Europe,old age
1579,Georg von Opel,55,1900,Finance & Investments,Switzerland,FALSE,M,Europe,middle age
1579,Changtian Wang,56,1900,Media & Entertainment,China,TRUE,M,Asia,middle age
1579,Wang Chaobin,66,1900,Real Estate,China,TRUE,M,Asia,old age
1579,Wang Chou-hsiong,81,1900,Manufacturing,Taiwan,TRUE,M,Asia,old age
1579,Wang Xiaoshen,53,1900,Manufacturing,China,TRUE,M,Asia,middle age
1579,Wei Yin-Heng,63,1900,Food & Beverage,Taiwan,TRUE,M,Asia,old age
1579,Xue Xiangdong & family,63,1900,Technology,China,TRUE,M,Asia,old age
1579,Yuan Fugen & family,71,1900,Manufacturing,China,TRUE,M,Asia,old age
1579,David Zalik,48,1900,Technology,United States,TRUE,M,North America,middle age
1645,Leslie Alexander,78,1800,Sports,United States,TRUE,M,North America,old age
1645,Igor Altushkin,51,1800,Metals & Mining,Russia,TRUE,M,Europe,middle age
1645,Roberto Angelini Rossi,73,1800,Diversified,Chile,FALSE,M,South America,old age
1645,Nigel Austin,51,1800,Fashion & Retail,Australia,TRUE,M,Australia,middle age
1645,Bang Jun-hyuk,53,1800,Media & Entertainment,South Korea,TRUE,M,Asia,middle age
1645,O. Francis Biondi,57,1800,Finance & Investments,United States,TRUE,M,North America,middle age
1645,Chang Byung-gyu,48,1800,Technology,South Korea,TRUE,M,Asia,middle age
1645,Chang Kuo-Ming,,1800,Logistics,Taiwan,FALSE,M,Asia,NA
1645,Chen Gang,54,1800,Energy,China,TRUE,M,Asia,middle age
1645,Liying Chen,46,1800,Logistics,China,TRUE,F,Asia,middle age
1645,Chen Xueli,70,1800,Healthcare,China,TRUE,M,Asia,old age
1645,Chi Yufeng,51,1800,Technology,China,FALSE,M,Asia,middle age
1645,Mark Coombs,61,1800,Finance & Investments,United Kingdom,TRUE,M,Europe,old age
1645,Tench Coxe,64,1800,Finance & Investments,United States,TRUE,M,North America,old age
1645,John de Mol,67,1800,Media & Entertainment,Netherlands,TRUE,M,Europe,old age
1645,Alfredo Egydio Arruda Villela Filho,52,1800,Finance & Investments,Brazil,FALSE,M,South America,middle age
1645,Ibrahim Erdemoglu,59,1800,Manufacturing,Turkey,TRUE,M,Europe,middle age
1645,Philip Fayer,,1800,Finance & Investments,Canada,TRUE,M,North America,NA
1645,Paul Foster,64,1800,Energy,United States,TRUE,M,North America,old age
1645,James France,77,1800,Sports,United States,FALSE,M,North America,old age
1645,Yasuhiro Fukushima,74,1800,Media & Entertainment,Japan,TRUE,M,Asia,old age
1645,Zhongru Gan,73,1800,Healthcare,China,TRUE,M,Asia,old age
1645,Rahul Gautam,69,1800,Fashion & Retail,India,FALSE,M,Asia,old age
1645,Ali Ghodsi,43,1800,Technology,Sweden,TRUE,M,Europe,youth
1645,Giammaria Giuliani,44,1800,Healthcare,Switzerland,FALSE,M,Europe,youth
1645,Christopher Goldsbury,79,1800,Food & Beverage,United States,FALSE,M,North America,old age
1645,Alexandre Grendene Bartelle,72,1800,Fashion & Retail,Brazil,TRUE,M,South America,old age
1645,Surjit Kumar Gupta,80,1800,Manufacturing,India,FALSE,M,Asia,old age
1645,Brian Higgins,57,1800,Finance & Investments,United States,TRUE,M,North America,middle age
1645,David Hindawi,77,1800,Technology,United States,TRUE,M,North America,old age
